division,team_name,first_name,last_name,height,year,,,,,
mens-d1,Hofstra,Amir,Williams,76,So,,,,,
mens-d1,Hofstra,A.J.,Wills,72,Jr,,,,,
mens-d1,Houston,Chris,Cenac Jr,83,Fr,,,,,
mens-d1,Houston Christian,Ryan,Bartley,78,Sr,,,,,
mens-d1,Houston Christian,Demarco,Bethea,79,Sr,,,,,
mens-d1,Houston Christian,Elijah,Brooks,75,Sr,,,,,
mens-d1,Houston Christian,Obadiah,Curtis,76,Sr,,,,,
mens-d1,Houston Christian,Caleb,Gaston,79,Jr,,,,,
mens-d1,Houston Christian,Kylin,Green,72,Sr,,,,,
mens-d1,Houston Christian,Nehikhare,Igiehon,79,Sr,,,,,
mens-d1,Houston Christian,Trent,Johnson,78,Sr,,,,,
mens-d1,Houston Christian,Ahjany,Lee,80,Jr,,,,,
mens-d1,Houston Christian,Mambourou,Mara,78,Jr,,,,,
mens-d1,Houston Christian,Bryson,Monroe,73,Sr,,,,,
mens-d1,Houston Christian,D'Aundre,Samuels,74,Jr,,,,,
mens-d1,Houston Christian,Demari,Williams,77,Jr,,,,,
mens-d1,Houston Christian,Will,Wilson,75,Sr,,,,,
mens-d1,IU Indy,Lav,Cvetkovic',79,Sr,,,,,
mens-d1,Illinois St.,Cameron,Barnes,82,So,,,,,
mens-d1,Illinois St.,Ty,Blake,76,Jr,,,,,
mens-d1,Illinois St.,Ty'Reek,Coleman,74,Fr,,,,,
mens-d1,Illinois St.,Jack,Daugherty,80,So,,,,,
mens-d1,Illinois St.,Johnny,Kinziger,71,Jr,,,,,
mens-d1,Illinois St.,Mason,Klabo,74,Fr,,,,,
mens-d1,Illinois St.,Brandon,Lieb,85,Sr,,,,,
mens-d1,Illinois St.,Landon,Moore,75,Sr,,,,,
mens-d1,Illinois St.,Ty,Pence,78,Jr,,,,,
mens-d1,Illinois St.,Boden,Skunberg,77,Sr,,,,,
mens-d1,Illinois St.,Chase,Walker,81,Jr,,,,,
mens-d1,Illinois St.,Landon,Wolf,77,Sr,,,,,
mens-d1,Indiana St.,Bruno,Alocen,78,So,,,,,
mens-d1,Indiana St.,Cooper,Bean,75,So,,,,,
mens-d1,Indiana St.,Zyair,Greene,75,Sr,,,,,
