division	team_name	first_name	last_name	height	year
mens-d1	Ga. Southern	Tsvet	Sotirov	6-9	So
mens-d1	Ga. Southern	Sean	Van Dorn Jr	6-6	Fr
mens-d1	Ga. Southern	Tavarus	Webb	6-4	Sr
mens-d1	Georgia St.	Anthony	Enoh	6-7	Jr
mens-d1	Jackson St.	Kobe	Butler	6-7	Fr
mens-d1	Jackson St.	Tamarion	Hoover	6-4	So
mens-d1	Jackson St.	Cael	Jones	6-1	Fr
mens-d1	Jackson St.	Deyan	Kolev	6-9	Fr
mens-d1	Jackson St.	Dorian	McMillian	6-3	So
mens-d1	Jackson St.	Jayme	Mitchell Jr	6-5	Jr
mens-d1	Jackson St.	Devin	Ree	6-9	Sr
mens-d1	Jackson St.	Daeshun	Ruffin	5-10	Sr
mens-d1	Jackson St.	Kedrick	Simmons	6-6	Fr
mens-d1	Jackson St.	Jalen	Tatum	6-4	Jr
mens-d1	Jackson St.	Dionjahe	Thomas	6-8	Jr
mens-d1	Jackson St.	Raevon	Thomas	6-9	Sr
mens-d1	Jackson St.	Delyle	Williams	6-3	Jr
mens-d1	Jackson St.	Mike	Williams	6-2	Fr
mens-d1	Jackson St.	Ebo	Wilson	6-10	So
mens-d1	James Madison	Christian	Brown	6-8	Fr
mens-d1	James Madison	Ike	Cornish	6-6	Sr
mens-d1	James Madison	Cliff	Davis	6-2	Sr
mens-d1	James Madison	Bradley	Douglas	6-1	Sr
mens-d1	James Madison	Kose	Egbule	6-2	Sr
mens-d1	James Madison	Preston	Fowler	6-8	Fr
mens-d1	James Madison	Paul	Jones III	6-4	So
mens-d1	James Madison	Paul	Lewis	6-2	Jr
mens-d1	James Madison	Justin	McBride	6-7	Jr
mens-d1	James Madison	Gabe	Newhof	6-9	Sr
mens-d1	James Madison	Eddie	Ricks III	6-7	Jr
mens-d1	James Madison	Justin	Taylor	6-6	Sr
mens-d1	James Madison	Eli	Wilborn	6-8	Jr
mens-d1	Kansas City	Trey	Booker-Lowery	6-7	Jr
mens-d1	Kansas City	Karmello	Branch	6-4	Jr
mens-d1	Kansas City	Kernan	Bundy	6-2	Sr
mens-d1	Kansas City	Jamaria	Clark	6-2	Jr
mens-d1	Kansas City	Chris	Dockery	6-6	Jr
mens-d1	Kansas City	CJ	Evans	5-11	Jr
mens-d1	Kansas City	Kasheem	Grady II	6-5	Sr
mens-d1	Kansas City	D'Andre	Harrison	6-6	Fr
mens-d1	Kansas City	Babacar	Mbengue	7-0	So
mens-d1	Kansas City	Jerome	Palm	6-10	Sr
mens-d1	Kansas City	Jayson	Petty	6-4	Jr
mens-d1	Kansas City	Addarin	Scott	6-8	Sr
mens-d1	Kansas St.	PJ	Haggerty	6-4	Jr
mens-d1	Kansas St.	CJ	Jones	6-5	Sr
mens-d1	Kent St.	Derrick	Lee Jr	6-5	So
mens-d1	LIU	A.J.	Neal	6-2	Sr
mens-d1	LMU (CA)	Myron	Amey Jr	6-2	Sr
mens-d1	LMU (CA)	Rodney	Brown Jr	6-6	Jr
mens-d1	LMU (CA)	Kevin	Carney	5-11	Sr
mens-d1	LMU (CA)	Joshua	Dalton	6-10	Fr
mens-d1	LMU (CA)	Rick	Issanza	7-1	Sr
mens-d1	LMU (CA)	Rokas	Jocius	6-10	Sr
mens-d1	LMU (CA)	Jael	Martin	6-8	Fr
mens-d1	LMU (CA)	Aaron	McBride	6-6	Jr
mens-d1	LMU (CA)	Jalen	Shelley	6-8	So
mens-d1	LMU (CA)	Nakyel	Shelton	6-3	Sr
mens-d1	LMU (CA)	Cooper	Smith	6-2	Fr
mens-d1	LMU (CA)	AJ	Thomas	6-4	Fr
mens-d1	LMU (CA)	George	Tupy	6-6	Jr
mens-d1	LMU (CA)	Jan	Vide	6-6	Jr
mens-d1	LSU	Michael	Nwoko	6-10	Jr
mens-d1	La Salle	Jerome	Brewer, Jr	6-9	Jr
mens-d1	Lafayette	Christian	Humphrey-Rembert	6-9	Fr
mens-d1	Lamar University	Jayden	Barrs	6-1	So
mens-d1	Lamar University	Janko	Bulajic	6-10	Sr
mens-d1	Lamar University	Braden	East	6'9"	So
mens-d1	Lamar University	Spencer	Ezewiro	6'9"	Jr
mens-d1	Lamar University	Jayden	Gambrell	6'3"	Fr
mens-d1	Lamar University	Andrew	Holifield	6'10"	Sr
mens-d1	Lamar University	B.B.	Knight	6'6"	Jr
mens-d1	Lamar University	Rob	Lee, Jr	6'2"	Jr
mens-d1	Lamar University	Eian	Lowe	5'10"	Fr
mens-d1	Lamar University	Cody	Pennebaker	6'5"	Sr
mens-d1	Lamar University	Errol	White	6'7"	Sr
mens-d1	Lamar University	King-Njhsanni	Wilhite	6'1"	Jr
mens-d1	Liberty	Zander	Carter	6'6"	Fr
mens-d1	Liberty	Zach	Cleveland	6'7"	Sr
mens-d1	Liberty	Brett	Decker Jr	6'3"	So
mens-d1	Liberty	TJ	Drain	6'8"	Fr
mens-d1	Liberty	Drew	Grimes	6'9"	Fr
mens-d1	Liberty	JJ	Harper	6'5"	Sr
mens-d1	Liberty	Ryan	Jones Jr	6'8"	Fr
mens-d1	Liberty	Brady	Kester	6'8"	Fr
mens-d1	Liberty	Kaden	Metheny	5'11"	Sr
mens-d1	Liberty	Colin	Porter	5'10"	Sr
mens-d1	Liberty	JC	Shirer Jr	6'3"	Jr
mens-d1	Liberty	Josh	Smith	6'9"	Sr
mens-d1	Liberty	Torr	Sorensen	6'7"	Fr
mens-d1	Liberty	Zander	Yates	6'8"	Sr
mens-d1	Little Rock	Braxton	Bayless	6'2"	Sr
mens-d1	Little Rock	Terrion	Burgess	6'9"	Fr
mens-d1	Little Rock	Truman	Claytor IV	6'6"	Jr
mens-d1	Little Rock	Tuongthach	Gatkek	6'9"	Sr
mens-d1	Little Rock	Christian	Hughes	6'2"	So
mens-d1	Little Rock	Johnathan	Lawson	6'7"	Sr
mens-d1	Little Rock	Kachi	Nzeh	6'8"	Jr
mens-d1	Little Rock	Caleb	Pennyfeather	6'9"	So
mens-d1	Little Rock	Tracy	Steele Jr	6'3"	Sr
mens-d1	Little Rock	Joseph	Thomas	6'3"	Fr
mens-d1	Little Rock	Cameron	Wallace	6'8"	Jr
mens-d1	Long Beach St.	Shaquil	Bender	6'2"	Sr
mens-d1	Long Beach St.	JJ	Chaikovsky	6'7"	So
mens-d1	Long Beach St.	Rob	Diaz	6'2"	Jr
mens-d1	Long Beach St.	Cole	Farrell	6'5"	Jr
mens-d1	Long Beach St.	Shay	Johnson Jr	6'10"	Sr
mens-d1	Long Beach St.	Christian	Jones	6'4"	So
mens-d1	Long Beach St.	Leopold	Levillain	6'9"	Fr
mens-d1	Long Beach St.	Immanuel	Lewis	6'3"	Sr
mens-d1	Long Beach St.	Isaiah	Lewis	6'3"	Jr
mens-d1	Long Beach St.	Petar	Majstorovic	6'8"	So
mens-d1	Long Beach St.	Gavin	Sykes	6'4"	Fr
mens-d1	Long Beach St.	Dallas	Washington	6'10"	Fr
mens-d1	Long Beach St.	Derrick Michael	Xzavierro	6'10"	Jr
mens-d1	Longwood	Jaylen	Benard	6'2"	Jr
mens-d1	Longwood	Alphonzo	Billups III	6'7"	Jr
mens-d1	Longwood	Jacoi	Hutchinson	6'3"	Jr
mens-d1	Longwood	Elijah	Jones	6'7"	Sr
mens-d1	Longwood	Isaiah	Kalala	6'9"	Fr
mens-d1	Longwood	Elijah	Kelly	6'7"	Fr
mens-d1	Longwood	KJ	McClurg	6'3"	Sr
mens-d1	Longwood	Johan	Nziemi	6'6"	Sr
mens-d1	Longwood	Jaylin	Payne	6'8"	Jr
mens-d1	Longwood	Emanuel	Richards	6'4"	Jr
mens-d1	Longwood	Redd	Thompson Jr	6'0"	So
