division,team_name,first_name,last_name,height,year
mens-d1,Colgate,Cooper,Wright,,
mens-d1,Colgate,Sam,Wright,,
mens-d1,Colorado,"Fawaz ""Tacko""",Ifaola,,
mens-d1,Coppin St.,Favour,Aire,,
mens-d1,Coppin St.,Torrin,Andrews,,
mens-d1,Coppin St.,Josiah,Brown,,
mens-d1,Coppin St.,Demariontay,Hall,,
mens-d1,Coppin St.,Khali,Horton,,
mens-d1,Coppin St.,Tyler,Koenig,,
mens-d1,Coppin St.,Nelson,Lamizana,,
mens-d1,Coppin St.,Daveyon,Lydner,,
mens-d1,Coppin St.,Chris,Morgan,,
mens-d1,Coppin St.,Macahi,Nelson,,
mens-d1,Coppin St.,Hassan,Perkins,,
mens-d1,Coppin St.,Jamari,Piercy,,
mens-d1,Coppin St.,Baasil,Saunders,,
mens-d1,Coppin St.,Camaren,Sparrow,,
mens-d1,Coppin St.,Taj,Thweatt,,
mens-d1,Coppin St.,Hussain,Williams,,
mens-d1,Dartmouth,Niko,Abusara,,
mens-d1,Dartmouth,Connor,Amundsen,,
mens-d1,Dartmouth,Ben,Brown,,
mens-d1,Dartmouth,Tyler,Garrett,,
mens-d1,Dartmouth,Cameron,Hiatt,,
mens-d1,Dartmouth,Khai,Lockwood,,
mens-d1,Dartmouth,Cameron,McNamee,,
mens-d1,Dartmouth,Brandon,Mitchell-Day,,
mens-d1,Dartmouth,Jackson,Munro,,
mens-d1,Dartmouth,Shanon,Simango,,
mens-d1,Dartmouth,Anton,Strelnikov,,
mens-d1,Dartmouth,Kareem,Thomas,,
mens-d1,Dartmouth,Patrick,Tivnan Jr.,,
mens-d1,Dartmouth,Jayden,Williams,,
mens-d1,Davidson,"JaQualon ""JQ""",Roberts,,
mens-d1,Dayton,Amael,L'Etang,,
mens-d1,DePaul,Kaleb,Banks,,
mens-d1,DePaul,N.J.,Benson,,
mens-d1,DePaul,Layden,Blocker,,
mens-d1,DePaul,Fabian,Flores,,
mens-d1,DePaul,CJ,Gunn,,
mens-d1,DePaul,Nate,Kasher,,
mens-d1,DePaul,Jeremy,Lorenz,,
mens-d1,DePaul,Brandon,Maclin,,
mens-d1,DePaul,Khaman,Maker,,
mens-d1,DePaul,Kruz,McClure,,
mens-d1,DePaul,Ilija,Milijasevic,,
mens-d1,DePaul,Théo,Pierre-Justin,,
mens-d1,DePaul,RJ,Smith,,
mens-d1,Delaware,Brandon,Baffone,,
mens-d1,Delaware,Christian,Bliss,,
mens-d1,Delaware,Jameel,Brown,,
mens-d1,Delaware,Mason,Ellison,,
mens-d1,Delaware,Houston,Emory,,
mens-d1,Delaware,Macon,Emory,,
mens-d1,Delaware,Justyn,Fernandez,,
mens-d1,Delaware,Tyler,Houser,,
mens-d1,Delaware,Alex,Kazanecki,,
mens-d1,Delaware,Bouna,Kebe,,
mens-d1,Delaware,Alex,McFadden,,
mens-d1,Delaware,Nnanna,Njoku,,
mens-d1,Delaware,Cavan,Reilly,,
mens-d1,Delaware,Jayden,Taylor,,
mens-d1,Delaware St.,Jalen,StClair,,
mens-d1,Detroit Mercy,Zak,Abdalla,,
mens-d1,Detroit Mercy,Ayden,Carter,,
mens-d1,Detroit Mercy,Je'kel,Cotton,,
mens-d1,Detroit Mercy,Keshawn,Fisher,,
mens-d1,Detroit Mercy,Legend,Geeter,,
mens-d1,Detroit Mercy,Xavier,Istomin-Monroe,,
mens-d1,Detroit Mercy,Nate,Johnson,,
mens-d1,Detroit Mercy,Ryan,Kalambay,,
mens-d1,Detroit Mercy,Jared,Lary,,
mens-d1,Detroit Mercy,Orlando,Lovejoy,,
mens-d1,Detroit Mercy,London,Maiden,,
mens-d1,Detroit Mercy,TJ,Nadeau,,
mens-d1,Detroit Mercy,Tyler,Spratt,,
mens-d1,Detroit Mercy,Lance,Stone,,
mens-d1,Drake,Wilguens Jr.,Exacte,,
mens-d1,Drexel,Horace,Simmons,,
mens-d1,Duke,Patrick,Ngongba,,
mens-d1,Duquesne,Cameron,Crawford,,
mens-d1,ETSU,Blake,Barkley,,
mens-d1,ETSU,Brayden,Crump,,
mens-d1,ETSU,Maki,Johnson,,
mens-d1,ETSU,Milton,Matthews,,
mens-d1,ETSU,Jordan,McCullum,,
mens-d1,ETSU,Cam,Morris III,,
mens-d1,ETSU,Henry,Sisemore,,
mens-d1,ETSU,Gabe,Sisk,,
